0.000 8.000 55.000 0.305 0.000 0.029 0.802 0.204
1.000 25.000 66.000 0.237 0.000 0.175 0.924 0.218
2.000 14.000 2.000 0.667 0.000 0.000 0.562 0.091
3.000 20.000 0.000 0.513 1.000 0.002 0.579 0.101
4.000 0.000 8.000 0.429 3.000 0.000 0.529 0.037
5.000 25.000 0.000 0.412 1.000 0.005 0.603 0.113
6.000 18.000 52.000 0.338 0.000 0.024 0.793 0.207
7.000 18.000 1.000 0.602 0.000 0.001 0.575 0.103
8.000 27.000 39.000 0.276 0.000 0.046 0.811 0.200
9.000 27.000 54.000 0.278 0.000 0.056 0.859 0.214
10.000 19.000 0.000 0.535 1.000 0.002 0.575 0.098
11.000 14.000 11.000 0.510 0.000 0.002 0.593 0.112
12.000 30.000 6.000 0.350 0.000 0.014 0.652 0.135
13.000 13.000 0.000 0.455 1.000 0.001 0.549 0.065
14.000 16.000 0.000 0.629 1.000 0.001 0.562 0.090
15.000 15.000 0.000 0.714 1.000 0.000 0.557 0.089
16.000 14.000 47.000 0.340 0.000 0.025 0.753 0.187
17.000 21.000 0.000 0.443 1.000 0.003 0.584 0.098
18.000 15.000 0.000 0.676 1.000 0.001 0.557 0.085
19.000 11.000 8.000 0.553 0.000 0.001 0.570 0.091
20.000 4.000 5.000 0.569 0.000 0.000 0.533 0.046
21.000 13.000 0.000 0.622 1.000 0.001 0.549 0.072
22.000 1.000 0.000 0.000 1.000 0.000 0.483 0.007
23.000 5.000 11.000 0.411 0.000 0.001 0.553 0.056
24.000 1.000 0.000 0.000 1.000 0.000 0.483 0.007
25.000 9.000 5.000 0.689 0.000 0.000 0.549 0.074
26.000 8.000 10.000 0.628 0.000 0.000 0.549 0.065
27.000 13.000 55.000 0.318 0.000 0.031 0.811 0.208
28.000 1.000 0.000 0.000 1.000 0.000 0.483 0.007
29.000 16.000 2.000 0.579 0.000 0.001 0.566 0.088
30.000 1.000 0.000 0.000 1.000 0.000 0.483 0.007
31.000 12.000 2.000 0.665 0.000 0.000 0.553 0.078
32.000 16.000 2.000 0.552 0.000 0.001 0.553 0.095
33.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000
34.000 14.000 4.000 0.669 0.000 0.000 0.562 0.090
35.000 37.000 7.000 0.246 0.000 0.035 0.695 0.144
36.000 6.000 7.000 0.461 0.000 0.001 0.545 0.057
37.000 13.000 1.000 0.439 0.000 0.001 0.545 0.057
38.000 13.000 6.000 0.629 0.000 0.001 0.570 0.096
39.000 10.000 39.000 0.309 0.000 0.019 0.723 0.167
40.000 13.000 2.000 0.681 0.000 0.001 0.557 0.086
41.000 22.000 2.000 0.469 0.000 0.003 0.593 0.108
42.000 5.000 2.000 0.452 0.000 0.000 0.510 0.036
43.000 32.000 0.000 0.292 1.000 0.017 0.640 0.119
44.000 20.000 32.000 0.348 0.000 0.015 0.716 0.177
45.000 20.000 3.000 0.500 0.000 0.002 0.593 0.113
46.000 0.000 5.000 0.450 3.000 0.000 0.503 0.025
47.000 0.000 5.000 0.400 3.000 0.000 0.518 0.023
48.000 10.000 44.000 0.313 0.000 0.021 0.753 0.182
49.000 13.000 2.000 0.779 0.000 0.000 0.553 0.084
50.000 13.000 4.000 0.664 0.000 0.000 0.557 0.084
51.000 1.000 58.000 0.239 0.000 0.035 0.830 0.206
52.000 13.000 58.000 0.311 0.000 0.036 0.839 0.216
53.000 13.000 58.000 0.311 0.000 0.036 0.839 0.216
54.000 10.000 57.000 0.308 0.000 0.033 0.820 0.210
55.000 12.000 5.000 0.618 0.000 0.000 0.566 0.092
56.000 1.000 9.000 0.443 0.000 0.000 0.533 0.040
57.000 15.000 2.000 0.629 0.000 0.000 0.566 0.094
58.000 13.000 5.000 0.669 0.000 0.000 0.562 0.090
59.000 14.000 2.000 0.609 0.000 0.000 0.557 0.084
60.000 16.000 0.000 0.446 1.000 0.002 0.562 0.077
61.000 17.000 0.000 0.662 1.000 0.000 0.566 0.096
62.000 18.000 0.000 0.444 1.000 0.003 0.570 0.087
63.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000
64.000 15.000 0.000 0.648 1.000 0.001 0.557 0.085
65.000 18.000 0.000 0.647 1.000 0.000 0.570 0.101
66.000 16.000 0.000 0.625 1.000 0.001 0.562 0.089
67.000 0.000 34.000 0.199 3.000 0.011 0.629 0.119
68.000 4.000 7.000 0.145 0.000 0.002 0.541 0.035
69.000 16.000 16.000 0.403 0.000 0.004 0.629 0.132
70.000 10.000 4.000 0.659 0.000 0.000 0.553 0.077
71.000 16.000 2.000 0.592 0.000 0.001 0.570 0.096
72.000 11.000 9.000 0.489 0.000 0.001 0.579 0.097
73.000 0.000 12.000 0.182 3.000 0.001 0.529 0.045
74.000 6.000 7.000 0.462 0.000 0.000 0.533 0.064
75.000 11.000 6.000 0.685 0.000 0.000 0.562 0.089
