10 2
9 0.13881125 0.16086997
76 0.28898308 0.48840505
51 -0.42602462 -0.32244888
50 0.4599458 0.5718722
61 -0.21580428 -0.16118601
34 0.46025363 0.006218691
5 -0.20946354 0.3517475
3 -0.2151788 -0.06604686
38 0.14533728 0.05146057
75 -0.41426075 -0.47244096
